internal_key,name,seller_name,offer_id,variant_key,option_name,seller_url,source_url,availability,price,shipping_fee,shipping_fee_confidence,installation_service,installation_fee,mattress_included,mattress_price,delivery_days_min,delivery_days_max,scheduled_delivery,width_cm,length_cm,height_cm,bed_size,material,storage_type,under_bed_clearance_cm,has_outlet,has_headboard,colors,storage_capacity,dust_blocking,cleaning_ease,robot_vacuum_fit,carry_difficulty,carry_service_available,self_assembly,assembly_service_available,assembly_people,assembly_tools,disassembly_ease,review_risks,recommended_for,not_recommended_for,data_confidence,source_note,commercial_verified_at,spec_verified_at,status,verified_by,evidence_confidence,evidence_notes,image_url,return_policy_summary,damage_process_summary,warranty_summary,review_sample_count,review_risk_counts,review_verified_at,review_rechecked_count,commercial_source_url,delivery_source_url,spec_source_url,policy_source_url,review_source_url,commercial_confidence,delivery_confidence,spec_confidence,policy_confidence,review_confidence
iloom-HSRE01SS-3W1OS,스쿱 가드형 침대(SS),일룸,HSRE01SS,3W1OS,SS / 3W1OS,https://www.iloom.com/product/detail.do?productCd=HSRE01SS,https://www.iloom.com/product/detail.do?productCd=HSRE01SS,in_stock,899000,0,confirmed,included,0,false,,7,10,true,119.6,206.9,95.2,SS,PB/HPM/스틸/스테인프리 패브릭,none,,,true,3W1OS,,,,,,,,true,,,,,,,confirmed,"일룸 공식 상세페이지에서 가격 899,000원·InStock·외경 1196*2069*952(mm)·무료 설치배송·영업일 7~10일을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,JSON-LD price 899000·availability InStock·평점 5.0/2건. 배송일 지정은 주문 후 AI챗봇으로 변경 가능. 지역별 설치 가능일·재고는 주소 선택 후 확정.,,"배송 시작 전에는 무상으로 주문을 취소할 수 있으나, 배송이 진행된 뒤에는 취소가 불가하며 품목별 반품비가 부과됩니다.","정상 설치배송 제품의 하자·파손은 A/S 대상이나, 임의 해외배송·직접조립으로 발생한 하자는 A/S 및 반품이 불가합니다.",소비자분쟁해결기준에 따라 1년 무상 A/S를 제공합니다(보증기간 내라도 고객 귀책 사유는 제외).,,,,,https://www.iloom.com/product/detail.do?productCd=HSRE01SS,https://www.iloom.com/product/detail.do?productCd=HSRE01SS,https://www.iloom.com/product/detail.do?productCd=HSRE01SS,https://www.iloom.com/product/detail.do?productCd=HSRE01SS,,confirmed,confirmed,confirmed,confirmed,
iloom-HBA411121-CZ,"세르크 수납침대 (SS,매트리스 포함)",일룸,HBA411121,CZ,SS / 헤드형 / CZ / 데일리 라이트 미디엄 SS 매트리스 포함,https://www.iloom.com/product/detail.do?productCd=HBA411121,https://www.iloom.com/product/detail.do?productCd=HBA411121,in_stock,1009000,0,confirmed,included,0,true,,7,10,true,110.5,219.15,98.6,SS,,lift_up,,,true,CZ,large,,,,,,,true,,,,,,,confirmed,"일룸 공식 상세페이지에서 가격 1,009,000원·InStock·프레임 외경 1105*986*2191.5(mm)·SS 매트리스 포함·무료 설치배송을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,JSON-LD price 1009000·InStock. Size 문자열 1105*986*2191.5 → 물리적 범위로 폭110.5·길이219.15·높이98.6cm 매핑(사람 재확인 권장). 매트리스 규격 1100*2000*230mm. 서랍+벙커 혼합 수납.,,"배송 시작 전에는 무상으로 주문을 취소할 수 있으나, 배송이 진행된 뒤에는 취소가 불가하며 품목별 반품비가 부과됩니다.","정상 설치배송 제품의 하자·파손은 A/S 대상이나, 임의 해외배송·직접조립으로 발생한 하자는 A/S 및 반품이 불가합니다.",소비자분쟁해결기준에 따라 1년 무상 A/S를 제공합니다(보증기간 내라도 고객 귀책 사유는 제외).,,,,,https://www.iloom.com/product/detail.do?productCd=HBA411121,https://www.iloom.com/product/detail.do?productCd=HBA411121,https://www.iloom.com/product/detail.do?productCd=HBA411121,https://www.iloom.com/product/detail.do?productCd=HBA411121,,confirmed,confirmed,confirmed,confirmed,
iloom-HSSE270-IVGYM,"링키플러스/로이 다리형 침대 프레임(SS,기본헤드)",일룸,HSSE270,IVGYM,SS / 기본헤드 / IVGYM,https://www.iloom.com/product/detail.do?productCd=HSSE270,https://www.iloom.com/product/detail.do?productCd=HSSE270,in_stock,452000,0,confirmed,included,0,false,,7,10,true,,,,SS,,legs_open,,,true,IVGYM,,,,check_height,,,,true,,,,,,,confirmed,"일룸 공식 상세페이지에서 가격 452,000원·InStock·다리형(하부 개방)·무료 설치배송을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,JSON-LD price 452000·InStock·평점 4.9/68건. 완성 외경(프레임)이 페이지에 명확히 표기되지 않아 치수는 비워 둠. 다리형이나 하부 높이 수치 미표기라 robot_vacuum_fit=check_height.,,"배송 시작 전에는 무상으로 주문을 취소할 수 있으나, 배송이 진행된 뒤에는 취소가 불가하며 품목별 반품비가 부과됩니다.","정상 설치배송 제품의 하자·파손은 A/S 대상이나, 임의 해외배송·직접조립으로 발생한 하자는 A/S 및 반품이 불가합니다.",소비자분쟁해결기준에 따라 1년 무상 A/S를 제공합니다(보증기간 내라도 고객 귀책 사유는 제외).,,,,,https://www.iloom.com/product/detail.do?productCd=HSSE270,https://www.iloom.com/product/detail.do?productCd=HSSE270,,https://www.iloom.com/product/detail.do?productCd=HSSE270,,confirmed,confirmed,,confirmed,
iloom-IBM0021A-SO,"모어 모션베드 다리형 SS (일체형,메모리폼)",일룸,IBM0021A,SO,SS / 일체형 메모리폼 / SO,https://www.iloom.com/product/detail.do?productCd=IBM0021A,https://www.iloom.com/product/detail.do?productCd=IBM0021A,in_stock,2490000,0,confirmed,included,0,true,,7,10,true,128,222.5,88.7,SS,PB/LPM/애쉬 원목/스틸/메모리폼,legs_open,,,true,SO,,,,check_height,,,,true,,,,,,,confirmed,"일룸 공식 상세페이지에서 가격 2,490,000원·InStock·외경 가로1280 세로2225 높이887(mm)·일체형 메모리폼·무료 설치배송을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,JSON-LD price 2490000·InStock. 상세스펙 라벨 '가로 1280 x 세로 2225 x 높이 887(mm)'. 일체형 모션 매트리스 포함. 다리형이나 하부 높이 미표기라 robot_vacuum_fit=check_height.,,"배송 시작 전에는 무상으로 주문을 취소할 수 있으나, 배송이 진행된 뒤에는 취소가 불가하며 품목별 반품비가 부과됩니다.","정상 설치배송 제품의 하자·파손은 A/S 대상이나, 임의 해외배송·직접조립으로 발생한 하자는 A/S 및 반품이 불가합니다.",소비자분쟁해결기준에 따라 1년 무상 A/S를 제공합니다(보증기간 내라도 고객 귀책 사유는 제외).,,,,,https://www.iloom.com/product/detail.do?productCd=IBM0021A,https://www.iloom.com/product/detail.do?productCd=IBM0021A,https://www.iloom.com/product/detail.do?productCd=IBM0021A,https://www.iloom.com/product/detail.do?productCd=IBM0021A,,confirmed,confirmed,confirmed,confirmed,
iloom-HBA501101-SP,바젤 심플리화이트 침대 프레임 SS,일룸,HBA501101,SP,SS / 심플리화이트 SP / 패널 미포함,https://www.iloom.com/product/detail.do?productCd=HBA501101,https://www.iloom.com/product/detail.do?productCd=HBA501101,in_stock,649000,0,confirmed,included,0,false,,7,10,true,114.1,217.0,110.05,SS,PB/LPM (헤드보드·바닥판 18T),none,,true,true,SP,,,,,,,,true,,,,,,,confirmed,"일룸 공식 상세페이지에서 가격 649,000원·InStock·외경 가로1141 세로2170 높이1100.5(mm)·헤드보드 조명/USB·무료 설치배송을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,JSON-LD price 649000·InStock·평점 4.8/24건. 상세스펙 라벨 '가로 1141 x 세로 2170 x 높이 1100.5(mm)'(초안에서 비어 있던 치수 채움). 헤드보드 LED 조명·USB 확인. 선반형/일반형 패널은 별도 선택.,,"배송 시작 전에는 무상으로 주문을 취소할 수 있으나, 배송이 진행된 뒤에는 취소가 불가하며 품목별 반품비가 부과됩니다.","정상 설치배송 제품의 하자·파손은 A/S 대상이나, 임의 해외배송·직접조립으로 발생한 하자는 A/S 및 반품이 불가합니다.",소비자분쟁해결기준에 따라 1년 무상 A/S를 제공합니다(보증기간 내라도 고객 귀책 사유는 제외).,,,,,https://www.iloom.com/product/detail.do?productCd=HBA501101,https://www.iloom.com/product/detail.do?productCd=HBA501101,https://www.iloom.com/product/detail.do?productCd=HBA501101,https://www.iloom.com/product/detail.do?productCd=HBA501101,,confirmed,confirmed,confirmed,confirmed,
livart-P100017510-oak,집속의 작은집 슈퍼싱글침대 프레임,리바트몰,P100017510,oak,슈퍼싱글 / 오크 / 프레임 단품,https://www.hyundailivart.co.kr/p/P100017510,https://www.hyundailivart.co.kr/p/P100017510,in_stock,573000,0,confirmed,included,,false,,4,5,true,114.1,204.9,120.0,SS,,none,,,true,오크,,,,,,,,true,1,,,,,,confirmed,"리바트몰 공식 상세페이지에서 비회원가 573,000원·사이즈 가로1141 세로2049 높이1200(mm)·무료배송(제주 제외)·내맘대로 배송지정을 오늘 확인했습니다. 2026-07-21 구매 버튼 활성·품절 표기 없음 확인, 리뷰 표본 10건(위험 반복 없음) (검수: refresh-agent 수집, Fable 재검수 — 사람 최종 검수 전 로컬 검증용 공개). 배송 4~5일은 상품 페이지 게시 문구(가구제품 배송안내) 직접 확인(2026-07-21). 방문설치 포함으로 고객 조립 불필요 — assembly_people은 DB 최소값 1로 기록(사용자 승인 2026-07-21)",2026-07-21,2026-07-20,public,refresh-agent-2026-07-20,confirmed,"비회원가 573,000원(회원가 약 320,800원). 사이즈 필드 '가로1141 x 세로2049 x 높이1200mm' — 하우스프레임형이라 전체 높이 120cm(수면 데크는 낮음). 구매버튼 노출·품절표시 없음이나 명시적 재고신호 미확인→availability unknown.",,"정상 상품은 수령 다음 날부터 7일 이내 교환·반품 신청이 가능하나, 조립 후에는 상품 가치 하락으로 단순변심 교환·반품이 어렵습니다(제품 하자는 예외).","제품 하자의 경우 조립 후에도 교환·반품이 가능하다고 안내하며, 반품/교환 배송비 기준은 상담 단계에서 확인해야 합니다.","리바트 회원(로그인) 구매 시 3년 무상 A/S가 적용되며, 비회원 주문은 3년 무상 A/S 대상에서 제외됩니다.",10,{},2026-07-21,2,https://www.hyundailivart.co.kr/p/P100017510,https://www.hyundailivart.co.kr/p/P100017510,https://www.hyundailivart.co.kr/p/P100017510,https://www.hyundailivart.co.kr/p/P100017510,https://www.hyundailivart.co.kr/p/P100017510,confirmed,confirmed,confirmed,confirmed,confirmed
livart-P100026884-natural,"꼼므 주니어 수납 슈퍼싱글침대(매트, 가드 별도)",리바트몰,P100026884,natural,슈퍼싱글 / 내추럴 / 매트리스·가드 별도,https://www.hyundailivart.co.kr/p/P100026884,https://www.hyundailivart.co.kr/p/P100026884,unknown,490000,0,confirmed,included,,false,,4,5,true,,,,SS,,drawer,,,,내추럴,,,,,,,,true,,,,,,,confirmed,"리바트몰 공식 상세페이지에서 비회원가 490,000원·무료배송(제주 제외)·내맘대로 배송지정·매트/가드 별도를 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,"비회원가 490,000원(정상가 510,000원). 정확 완성 외경 미표기(본문 '가로2055·세로1150mm'는 성인 SS 사용공간 안내)라 치수 비움. 주니어 수납형. 구매버튼 노출이나 명시적 재고신호 미확인→availability unknown.",,"정상 상품은 수령 다음 날부터 7일 이내 교환·반품 신청이 가능하나, 조립 후에는 상품 가치 하락으로 단순변심 교환·반품이 어렵습니다(제품 하자는 예외).","제품 하자의 경우 조립 후에도 교환·반품이 가능하다고 안내하며, 반품/교환 배송비 기준은 상담 단계에서 확인해야 합니다.","리바트 회원(로그인) 구매 시 3년 무상 A/S가 적용되며, 비회원 주문은 3년 무상 A/S 대상에서 제외됩니다.",,,,,https://www.hyundailivart.co.kr/p/P100026884,https://www.hyundailivart.co.kr/p/P100026884,,https://www.hyundailivart.co.kr/p/P100026884,,confirmed,estimated,,confirmed,
livart-P200199572-ss-white,레브 침대 프레임 화이트 SS(터치조명 포함),리바트몰,P200199572,ss-white,SS / 화이트 / 터치조명 포함,https://www.hyundailivart.co.kr/p/P200199572,https://www.hyundailivart.co.kr/p/P200199572,unknown,795000,0,confirmed,included,,false,,4,5,true,114.0,215.4,105.0,SS,,none,,true,true,화이트,,,,,,,,true,,,,,,,confirmed,"리바트몰 공식 상세페이지에서 SS 화이트 비회원가 795,000원·사이즈 가로1140 세로2154 높이1050(mm)·터치조명 포함·무료배송(제주 제외)을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,"SS 옵션가 795,000원(Q는 +215,000원). 사이즈 필드 SS '가로1140 x 세로2154 x 높이1050mm'. 헤드보드 터치조명. 본문에 헤드 '중간 수납공간/서랍 내부 사이즈' 언급 있어 수납 구조는 사람 확인 필요(현재 storage_type=none 유지). 명시적 재고신호 미확인→unknown.",,"정상 상품은 수령 다음 날부터 7일 이내 교환·반품 신청이 가능하나, 조립 후에는 상품 가치 하락으로 단순변심 교환·반품이 어렵습니다(제품 하자는 예외).","제품 하자의 경우 조립 후에도 교환·반품이 가능하다고 안내하며, 반품/교환 배송비 기준은 상담 단계에서 확인해야 합니다.","리바트 회원(로그인) 구매 시 3년 무상 A/S가 적용되며, 비회원 주문은 3년 무상 A/S 대상에서 제외됩니다.",,,,,https://www.hyundailivart.co.kr/p/P200199572,https://www.hyundailivart.co.kr/p/P200199572,https://www.hyundailivart.co.kr/p/P200199572,https://www.hyundailivart.co.kr/p/P200199572,,confirmed,estimated,confirmed,confirmed,
livart-P200183576-ss-sand,리버서블 슈퍼싱글 침대 프레임 슬림형,리바트몰,P200183576,ss-sea-trench-sand,SS / 시 트렌치 소프트 샌드(베이지),https://www.hyundailivart.co.kr/p/P200183576,https://www.hyundailivart.co.kr/p/P200183576,in_stock,617000,0,confirmed,included,,false,,4,5,true,113.4,213.0,,SS,기능성 패브릭/인조가죽/고탄성 스펀지,none,,,true,시 트렌치 소프트 샌드,,,,,,,,true,1,,,,,,confirmed,"리바트몰 공식 상세페이지에서 비회원가 617,000원·사이즈 가로1134 세로2130 높이810~960(mm)·무료배송(제주 제외)·소재를 오늘 확인했습니다. 2026-07-21 구매 버튼 활성·품절 표기 없음 확인, 리뷰 표본 10건(냄새 1건, 반복 기준 미달) (검수: refresh-agent 수집, Fable 재검수 — 사람 최종 검수 전 로컬 검증용 공개). 배송 4~5일은 상품 페이지 게시 문구(가구제품 배송안내) 직접 확인(2026-07-21). 방문설치 포함으로 고객 조립 불필요 — assembly_people은 DB 최소값 1로 기록(사용자 승인 2026-07-21)",2026-07-21,2026-07-20,public,refresh-agent-2026-07-20,confirmed,"비회원가 617,000원. 사이즈 필드 '가로1134 x 세로2130 x 높이810-960mm'(리버서블 슬림/쿠션헤드에 따라 높이 가변)라 height는 비우고 폭113.4·길이213.0만 기록. 명시적 재고신호 미확인→unknown.",,"정상 상품은 수령 다음 날부터 7일 이내 교환·반품 신청이 가능하나, 조립 후에는 상품 가치 하락으로 단순변심 교환·반품이 어렵습니다(제품 하자는 예외).","제품 하자의 경우 조립 후에도 교환·반품이 가능하다고 안내하며, 반품/교환 배송비 기준은 상담 단계에서 확인해야 합니다.","리바트 회원(로그인) 구매 시 3년 무상 A/S가 적용되며, 비회원 주문은 3년 무상 A/S 대상에서 제외됩니다.",10,"{""smell"": 1}",2026-07-21,2,https://www.hyundailivart.co.kr/p/P200183576,https://www.hyundailivart.co.kr/p/P200183576,https://www.hyundailivart.co.kr/p/P200183576,https://www.hyundailivart.co.kr/p/P200183576,https://www.hyundailivart.co.kr/p/P200183576,confirmed,confirmed,confirmed,confirmed,confirmed
hanssem-411763-ss-drawer-color-unverified,샘베딩 플레인 침대 SS 슈퍼싱글 서랍형(매트별도),한샘몰,411763,ss-drawer-color-unverified,SS / 서랍형 / 색상 미확인,https://store.hanssem.com/goods/411763,https://store.hanssem.com/goods/411763,in_stock,349900,,unknown,,,false,,,,,,,,SS,,drawer,,,,,,,,,,,,,,,,,,,confirmed,"한샘몰 상세페이지 embedded __NEXT_DATA__에서 판매가(dcPrc) 349,900원·soldOutYn=false·재고 999·서랍형을 오늘 확인했습니다.",2026-07-20,2026-07-20,hidden,refresh-agent-2026-07-20,confirmed,"__NEXT_DATA__ currentGdsInfo dcPrc 349900(20% 할인, 정상가 약 437,375원·쿠폰 시 추가 인하 가능)·soldOutYn false·stockQty 999·평점 4.8/188. 상세는 JS 셸이라 치수·색상·배송비·소재 미확인. 초안 대비 345,900→349,900원.",,,,,,,,,https://store.hanssem.com/goods/411763,,,,,confirmed,,,,
